ORF,Name,Allele,Strain ID,Num_cells,Num_cells_outliers,Penetrance,normal,Cluster_normal-0,Cluster_normal-1,Cluster_normal-2,Cluster_normal-3,Cluster_normal-4,Cluster_normal-5,Cluster_normal-6,Cluster_normal-7,Cluster_normal-8,Cluster_normal-9
YER171W,RAD3,rad3-ts14,tsa588-37C,142,98,0.6901408450704225,1.0,0.0408163265306122,0.0,0.0714285714285714,0.1632653061224489,0.0,0.1530612244897959,0.0306122448979591,0.0,0.4897959183673469,0.0510204081632653
YNL216W,RAP1,rap1-1,tsa558-37C,332,83,0.25,1.0,0.0481927710843373,0.0120481927710843,0.0481927710843373,0.1204819277108433,0.0,0.2048192771084337,0.2650602409638554,0.0,0.216867469879518,0.0843373493975903
YNL216W,RAP1,rap1-2,tsa559-37C,531,196,0.3691148775894539,1.0,0.2653061224489796,0.010204081632653,0.0408163265306122,0.1989795918367347,0.0,0.1326530612244898,0.0561224489795918,0.0,0.2397959183673469,0.0561224489795918
YOR244W,ESA1,esa1-l254p,tsa560-37C,817,266,0.3255813953488372,1.0,0.1090225563909774,0.018796992481203,0.1015037593984962,0.0488721804511278,0.0,0.150375939849624,0.1954887218045112,0.0,0.2142857142857142,0.1616541353383458
YOR244W,ESA1,esa1-d414,tsa563-37C,885,289,0.3265536723163841,1.0,0.2629757785467128,0.0034602076124567,0.0968858131487889,0.0934256055363321,0.0,0.1626297577854671,0.0899653979238754,0.0,0.2041522491349481,0.0865051903114186
YOR249C,APC5,apc5-ca-paps,tsa745-37C,618,183,0.2961165048543689,1.0,0.0655737704918032,0.0163934426229508,0.1693989071038251,0.0054644808743169,0.0,0.1420765027322404,0.2349726775956284,0.0,0.0655737704918032,0.3005464480874317
YFL029C,CAK1,cak1-23,tsa650-37C,364,199,0.5467032967032966,1.0,0.0351758793969849,0.0201005025125628,0.2412060301507537,0.0150753768844221,0.0,0.2512562814070351,0.1809045226130653,0.0,0.1306532663316583,0.1256281407035175
YOR249C,APC5,apc5-ca,tsa746-37C,681,189,0.2775330396475771,1.0,0.1111111111111111,0.0052910052910052,0.1322751322751322,0.0052910052910052,0.0,0.1375661375661375,0.2592592592592592,0.0,0.1746031746031746,0.1746031746031746
YGL044C,RNA15,rna15-58,tsa652-37C,380,304,0.8,1.0,0.0098684210526315,0.0361842105263157,0.1743421052631578,0.0032894736842105,0.0,0.1217105263157894,0.0592105263157894,0.0,0.5394736842105263,0.0559210526315789
YGR074W,SMD1,smd1-1,tsa748-37C,376,122,0.324468085106383,1.0,0.0901639344262295,0.0,0.1311475409836065,0.0327868852459016,0.0,0.180327868852459,0.1721311475409836,0.0,0.1885245901639344,0.2049180327868852
YEL034W,HYP2,hyp2-1159-supp1,tsa749-37C,246,68,0.2764227642276423,1.0,0.1029411764705882,0.0,0.1176470588235294,0.0735294117647058,0.0,0.2205882352941176,0.1617647058823529,0.0,0.1911764705882352,0.1323529411764706
YBR193C,MED8,med8-39,tsa751-37C,171,120,0.7017543859649122,1.0,0.0,0.0416666666666666,0.125,0.0083333333333333,0.0,0.15,0.0916666666666666,0.0,0.4583333333333333,0.125
YDR088C,SLU7,slu7-ts1,tsa656-37C,688,189,0.2747093023255814,1.0,0.1587301587301587,0.0,0.074074074074074,0.0846560846560846,0.0,0.3015873015873015,0.1164021164021164,0.0,0.0793650793650793,0.1851851851851851
YLR005W,SSL1,ssl1-t242i,tsa752-37C,277,209,0.7545126353790613,1.0,0.0,0.1435406698564593,0.0669856459330143,0.1004784688995215,0.0,0.1818181818181818,0.0526315789473684,0.0,0.3971291866028708,0.0574162679425837
YDR088C,SLU7,slu7-ts2,tsa657-37C,473,211,0.4460887949260042,1.0,0.0663507109004739,0.0047393364928909,0.0426540284360189,0.1184834123222748,0.0,0.3364928909952606,0.0331753554502369,0.0,0.2985781990521327,0.0995260663507109
YER069W,"ARG5,6","arg5,6",tsa753-37C,384,96,0.25,1.0,0.1354166666666666,0.0,0.0729166666666666,0.1979166666666666,0.0,0.2291666666666666,0.0833333333333333,0.0,0.1666666666666666,0.1145833333333333
YOL069W,NUF2,nuf2-61,tsa755-37C,548,177,0.322992700729927,1.0,0.0451977401129943,0.0,0.1129943502824858,0.0225988700564971,0.0,0.1186440677966101,0.1694915254237288,0.0,0.1412429378531073,0.3898305084745763
YNR035C,ARC35,arc35-6,tsa471-37C,229,113,0.4934497816593886,1.0,0.0265486725663716,0.0353982300884955,0.1150442477876106,0.0176991150442477,0.0,0.1504424778761062,0.2300884955752212,0.0,0.2035398230088495,0.2212389380530973
YGR091W,PRP31,prp31-1,tsa472-37C,1268,261,0.2058359621451104,1.0,0.2413793103448276,0.0,0.0689655172413793,0.0957854406130268,0.0,0.1877394636015325,0.160919540229885,0.0,0.1264367816091954,0.1187739463601532
